award_id,cancelled_trump,title,directorate,start_date,year,state,org_name,end_date,award_amount
"=""2055245""",no,NSF-DFG Echem: Operando Electronic Structure Determination of Iron and its Time-Dependent Dynamics in FexNi100-x(OH)y Electrooxidation Catalysts,CBET,07/15/2021,2021,AR,University of Arkansas,09/30/2021,251372.0
"=""2139189""",no,I-Corps:  Identification of a stable hybrid carrier for large-scale expression of recombinant miRNAs and siRNAs in E. coli,TI,07/15/2021,2021,CA,University of California-Davis,12/31/2021,50000.0
"=""2140040""",no,Network and Distributed System Security Symposium 2021,CNS,07/15/2021,2021,VA,Internet Society,12/31/2021,17518.0
"=""2105445""",no,Probing Near-Symplectic 4-Manifolds and Contact 3-Manifolds with Seiberg-Witten Theory,DMS,07/15/2021,2021,MA,Harvard University,09/30/2021,155206.0
"=""2107035""",no,Collaborative Research: SHF: Medium: Ensuring Safety and Liveness of Modern Systems through Dynamic Temporal Analysis,CCF,07/15/2021,2021,NE,University of Nebraska-Lincoln,11/30/2021,247349.0
"=""2054471""",no,Applications of Model Theory to Functional Transcendence,DMS,07/01/2021,2021,NY,CUNY Bronx Community College,12/31/2021,144760.0
"=""2051644""",no,SBIR Phase I:  Automated Perception for Robotic Chopsticks Manipulating Small and Large Objects in Constrained Spaces,TI,07/01/2021,2021,TN,"DEXTROUS ROBOTICS, INC.",12/31/2021,256000.0
"=""2104995""",no,CRII: RI: Using Linguistic Variation to Understand Deep Neural Models of Language,IIS,07/01/2021,2021,CA,University of California-Santa Barbara,08/31/2021,175000.0
"=""2105548""",no,Subgroups in Artin Groups and Lattices in Products of Trees,DMS,07/01/2021,2021,IL,University of Chicago,12/31/2021,163208.0
"=""2055105""",no,Quantum Subgroups of the Low Rank Lie Algebras,DMS,07/01/2021,2021,TN,Vanderbilt University,07/31/2021,112428.0
"=""2112424""",no,SBIR Phase I:  A transformative low-cost approach for Direct Air Capture of CO2 via repeated cycles of ambient weathering of metal oxides,TI,07/01/2021,2021,CA,"Heirloom Carbon Technologies, Inc.",12/31/2021,255737.0
"=""2055226""",no,Homogenization Methods in Statistical Physics,DMS,07/01/2021,2021,IL,University of Chicago,07/31/2021,313633.0
"=""2105576""",no,Entropy in Mean Curvature Flow and Minimal Hypersurfaces,DMS,07/01/2021,2021,CA,California Institute of Technology,09/30/2021,121016.0
"=""2101508""",no,Practice-Driven Professional Development for Algebra Teachers,DRL,07/01/2021,2021,MO,University of Missouri-Columbia,12/31/2021,1174293.0
"=""2111581""",no,SBIR Phase I:  A novel small-scale wave energy converter for marine equipment or emergency devices,TI,06/15/2021,2021,FL,ENGINEERING TECHNOLOGIES LLC,11/30/2021,165637.0
"=""2129540""",no,I-Corps:  Development of a Periodontal Ultrasound/Photoacoustic Imaging Device,TI,06/01/2021,2021,CA,University of California-San Diego,11/30/2021,50000.0
"=""2126085""",no,I-Corps: Simulation-based Decision Support Platform for Regenerative Medicine Manufacturing and Distribution,TI,06/01/2021,2021,GA,Georgia Tech Research Corporation,11/30/2021,50000.0
"=""2135528""",no,CRREL Engineering and Applied Science Support for Polar Regions,OPP,06/01/2021,2021,MS,Department of Army Cold Regions Research & Engineering Lab,12/01/2021,250000.0
