award_id,cancelled_trump,title,directorate,start_date,state,org_name,end_date,year,award_amount
"=""1937722""",yes,Developing and Validating STEM Social Capital Scales,DRL,09/01/2019,TX,University of Texas at San Antonio,01/31/2021,2021,350000.0
"=""1940652""",yes,National Robotics Initiative (NRI) PI Meeting 2020 Technical Program Organization,IIS,09/01/2019,MI,Regents of the University of Michigan - Ann Arbor,08/31/2020,2020,39771.0
"=""1941053""",yes,EAGER: Cyberlearning with Co-Robotic Teachable Agents,IIS,09/01/2019,NY,New York University,06/30/2020,2020,299851.0
"=""2022303""",yes,"Springer Theory for Symmetric Spaces, Real Groups, Hitchin Fibrations, and Geometric Langlands",DMS,09/01/2019,MN,University of Minnesota-Twin Cities,06/30/2020,2020,25770.0
"=""2015683""",yes,Problems in Spectral Theory and Analysis,DMS,09/01/2019,TX,Texas A&M University,06/30/2020,2020,30571.0
"=""1919333""",yes,Human Forests versus Random Forest Models in Prediction,SES,09/01/2019,MD,Johns Hopkins University,10/31/2020,2020,480000.0
"=""1940920""",yes,Professional Experiences for Students in Plasma Science: Student Travel Support to Attend the 2019 Gaseous Electronics Conference,PHY,09/01/2019,TX,Texas A&M Engineering Experiment Station,08/31/2020,2020,10000.0
"=""1943191""",yes,"Women in the Sciences Leadership Workshop; Boulder, Colorado; November 4-8, 2019",AGS,09/01/2019,CO,University Corporation For Atmospheric Res,08/31/2020,2020,33819.0
"=""1941570""",yes,United States-Extreme Light Infrastructure Joint Dialogue Meeting,PHY,09/01/2019,DC,Optical Society of America,08/31/2020,2020,9490.0
"=""1918240""",yes,Doctoral Dissertation Research: A Discourse Analysis of Training Programs,BCS,09/01/2019,PA,University of Pennsylvania,08/31/2020,2020,22229.0
"=""1926391""",yes,Collaborative Proposal: MSA:  Environmental and anthropogenic drivers of decadal-scale changes in estuarine fish alpha and beta diversity from local to biogeographic scales,DEB,09/01/2019,TX,University of Texas at Austin,05/31/2020,2020,249972.0
"=""1937850""",yes,2019 EFRI ACQUIRE Grantees Meeting,EFMA,09/01/2019,DC,Optical Society of America,02/29/2020,2020,36415.0
"=""1848900""",yes,Functional genomics of high-altitude adaptation in a non-human primate model,BCS,09/01/2019,WA,University of Washington,01/31/2020,2020,394352.0
"=""1945681""",yes,"Workshop to Explore Science Opportunities and Concepts for a US Aerosol-Cloud-Microphysics Research Facility; Boulder, Colorado - Fall 2019",AGS,09/01/2019,MI,Michigan Technological University,08/31/2020,2020,25840.0
"=""2018221""",yes,Self-similar Solutions of Geometric Flows,DMS,09/01/2019,CA,California Institute of Technology,08/31/2020,2020,36512.0
